id,config_label,version,config,k,m0,m1,m2,m3,bench_mode,nmed,mred,hier_cells,total_cells,and_cells,mux_cells,or_cells,xor_cells,max_freq_mhz,ice_lc_used,ice_lc_total,ice_ram_used,ice_ram_total,dhrystones_per_second_mhz,dmips_per_mhz,mul16_iters,mul16_cycles,mul16_checksum,bench_done
1,22_66_66_66,a,2_6_6_6,4,2,6,6,6,board,0.0075861725,0.1028757406,2042,2042,886,248,372,536,17.48,4445,5280,28,30,,0.311,,144015,,1
2,22_55_55_55,a,2_5_5_5,4,2,5,5,5,board,0.0036685645,0.0566542553,2084,2084,904,248,384,548,16.31,4422,5280,28,30,,0.311,,144015,,1
3,22_44_44_44,a,2_4_4_4,4,2,4,4,4,board,0.0016996215,0.0291432514,2105,2105,910,248,387,560,16.05,4449,5280,28,30,,0.311,,144015,,1
4,22_22_22_22,a,2_2_2_2,4,2,2,2,2,board,0.0002611139,0.0051812098,2165,2165,934,248,399,584,15.97,4416,5280,28,30,,0.311,,144015,,1
5,22_66_66_66,b,2_6_6_6,6,2,6,6,6,board,0.0075861725,0.1028757406,1982,1982,850,248,366,518,17.09,4456,5280,28,30,,0.311,,144015,,1
6,22_55_55_55,b,2_5_5_5,6,2,5,5,5,board,0.0036676432,0.0566232597,2024,2024,868,248,378,530,16.84,4445,5280,28,30,,0.311,,144015,,1
7,22_44_44_44,b,2_4_4_4,6,2,4,4,4,board,0.0016992131,0.0291317617,2045,2045,874,248,381,542,16.06,4445,5280,28,30,,0.311,,144015,,1
8,22_22_22_22,b,2_2_2_2,6,2,2,2,2,board,0.0002613709,0.0051985483,2105,2105,898,248,393,566,17.18,4414,5280,28,30,,0.311,,144015,,1
9,E_66_66_66,a,0_6_6_6,4,0,6,6,6,board,0.0075861685,0.1028754151,2059,2059,892,250,375,542,16.01,4386,5280,28,30,,0.311,,144015,,1
10,E_55_55_55,a,0_5_5_5,4,0,5,5,5,board,0.0036685606,0.0566539298,2101,2101,910,250,387,554,16.37,4484,5280,28,30,,0.311,,144015,,1
11,E_44_44_44,a,0_4_4_4,4,0,4,4,4,board,0.0016996176,0.0291429258,2122,2122,916,250,390,566,16.67,4468,5280,28,30,,0.311,,144015,,1
12,E_22_22_22,a,0_2_2_2,4,0,2,2,2,board,0.0002611100,0.0051809078,2182,2182,940,250,402,590,17.59,4455,5280,28,30,,0.311,,144015,,1
13,E_66_66_66,b,0_6_6_6,6,0,6,6,6,board,0.0075861685,0.1028754151,1999,1999,856,250,369,524,16.59,4467,5280,28,30,,0.311,,144015,,1
14,E_55_55_55,b,0_5_5_5,6,0,5,5,5,board,0.0036676388,0.0566229188,2041,2041,874,250,381,536,16.57,4470,5280,28,30,,0.311,,144015,,1
15,E_44_44_44,b,0_4_4_4,6,0,4,4,4,board,0.0016992095,0.0291314507,2062,2062,880,250,384,548,16.44,4471,5280,28,30,,0.311,,144015,,1
16,E_22_22_22,b,0_2_2_2,6,0,2,2,2,board,0.0002613680,0.0051982503,2122,2122,904,250,396,572,16.57,4463,5280,28,30,,0.311,,144015,,1
